Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
4,hive,rcfile,snappy,,,,,,,1591.644,16.198,129.506,16.108,24.675,14.133,24.684,16.124,24.684,14.116,47.525
4,hive,rcfile,gzip,687.62,698.258,704.189,714.169,730.187,736.211,1776.929,16.117,227.3,14.125,110.626,14.116,120.723,14.108,122.615,14.1,48.841
4,shark,rcfile,gzip,598.876,585.597,607.263,582.072,596.281,615.23,685.611,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1617.906,32.175,119.48,16.116,24.658,14.124,22.686,16.13,22.65,16.125,64.708
4,hive,rcfile,gzip,603.315,618.229,614.179,626.187,628.181,636.18,1766.375,16.122,231.312,12.135,108.654,14.126,120.697,12.109,122.714,12.118,41.511
4,shark,rcfile,gzip,548.81,573.014,586.74,588.482,598.091,604.667,666.074,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1597.902,26.177,125.432,16.126,28.637,14.118,26.637,16.127,30.704,16.11,45.481
4,impala,parquet,snappy,1819.90,2873.66,2307.62,4138.08,594.09,577.56,720.21,0.67,68.23,0.65,47.91,0.71,48.00,0.64,50.94,0.64,0.93
4,impala,parquet,snappy,2252.76,2882.94,3233.54,3309.61,625.05,661.75,879.15,1.42,65.10,0.64,57.25,0.98,71.35,0.72,47.75,0.65,1.24
4,impala,parquet,snappy,2648.49,2241.42,2729.31,2049.19,512.98,520.43,701.90,0.72,63.61,0.67,48.42,0.64,51.99,0.75,42.12,0.62,1.24
4,impala,parquet,snappy,3276.64,3122.11,3587.94,4697.18,499.88,662.85,814.53,0.64,63.96,0.67,49.66,0.66,53.96,0.63,48.85,0.64,1.04
8,hive,rcfile,gzip,267.196,172.199,190.165,226.155,262.145,246.155,932.197,12.105,155.23,12.115,116.712,12.117,118.619,12.108,120.594,12.107,39.524
8,shark,rcfile,gzip,228.041,245.071,257.378,236.863,244.822,169.325,289.467,,,,,,,,,,
8,impala,parquet,snappy,1832.70,880.94,1056.29,280.85,79.66,148.74,401.74,0.96,38.17,0.74,27.11,0.72,25.90,1.21,26.91,0.58,0.82
8,hive,rcfile,snappy,,,,,,,837.61,16.18,93.413,14.128,22.637,12.108,24.641,14.115,22.566,14.133,41.566
8,hive,rcfile,gzip,297.262,286.176,278.16,244.144,284.151,274.143,974.555,12.121,153.281,12.115,118.589,12.116,126.682,12.108,119.672,12.117,39.491
