Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
4,hive,orc,snappy,983.324,994.23,1000.206,1000.197,1012.223,1022.204,1954.379,26.123,217.28,26.141,78.665,22.124,76.707,26.142,76.698,24.141,63.572
4,hive,orc,zlib,,,,,,,2081.783,22.163,327.684,22.124,186.87,22.125,186.837,22.116,186.719,22.116,61.625
4,hive,orc,snappy,833.368,854.258,834.222,832.2,848.201,866.2,1934.631,24.138,219.496,24.124,78.723,22.124,74.724,24.133,68.872,24.133,63.749
4,hive,orc,zlib,,,,,,,2052.113,22.198,331.619,24.149,186.888,20.141,184.754,22.132,184.731,22.15,61.724
4,hive,orc,snappy,885.367,884.244,900.197,894.195,906.203,896.211,1912.566,24.127,207.488,24.14,82.79,24.125,72.807,26.117,74.797,24.133,63.725
4,hive,orc,zlib,,,,,,,2038.176,22.184,331.723,22.115,189.162,22.133,186.754,22.141,184.737,22.116,61.784
8,hive,rcfile,gzip,585.255,508.199,574.18,566.153,588.199,588.205,1106.322,14.128,153.323,14.125,118.714,14.135,120.721,14.124,120.681,12.116,43.53
8,shark,rcfile,gzip,349.249,340.117,332.368,337.794,354.319,388.334,446.848,,,,,,,,,,
8,hive,orc,snappy,,,,,,,1061.588,20.186,137.498,18.124,44.715,18.116,44.991,18.133,42.717,18.133,51.559
8,hive,orc,zlib,,,,,,,1119.733,22.157,219.462,24.132,186.663,20.132,184.804,20.117,182.663,20.116,57.55
8,hive,rcfile,snappy,,,,,,,1019.693,16.183,87.424,16.116,26.725,14.133,24.716,16.142,22.791,14.117,47.541
8,hive,rcfile,gzip,583.362,444.233,522.168,466.166,524.197,568.187,1106.432,12.102,155.406,12.124,118.714,12.125,118.731,14.141,122.648,14.124,43.751
8,shark,rcfile,gzip,371.434,364.336,391.449,382.691,379.758,373.391,428.464,,,,,,,,,,
8,hive,orc,snappy,,,,,,,1044.009,20.183,135.547,20.132,46.749,18.108,42.699,16.133,52.699,20.141,49.758
8,hive,orc,zlib,,,,,,,1126.052,22.18,219.604,22.141,186.82,22.15,186.795,22.124,184.712,22.132,59.707
8,hive,rcfile,snappy,,,,,,,1011.938,16.19,89.487,18.149,24.691,14.133,22.691,14.141,24.724,16.141,47.807
8,hive,rcfile,gzip,565.326,510.22,542.178,558.183,576.187,588.203,1114.629,14.126,153.806,14.132,118.873,14.125,122.83,12.124,122.748,14.125,41.757
8,shark,rcfile,gzip,363.681,348.157,352.591,338.5,344.309,405.699,422.806,,,,,,,,,,
8,hive,orc,snappy,,,,,,,1117.765,16.149,173.78,18.116,91.806,18.108,85.917,18.124,87.964,18.117,49.683
8,hive,orc,zlib,,,,,,,1174.423,22.181,259.637,20.107,218.212,20.158,196.045,20.116,187.162,20.133,57.734
8,hive,rcfile,snappy,,,,,,,1021.961,16.19,89.55,14.141,24.709,14.158,22.691,14.124,24.735,14.116,45.783
8,hive,rcfile,gzip,551.375,512.212,500.196,534.186,560.196,566.186,1088.605,14.122,153.399,12.132,118.723,12.108,120.722,14.124,120.706,12.125,43.751
8,shark,rcfile,gzip,377.339,372.414,366.566,367.199,372.275,397.482,439.664,,,,,,,,,,
8,hive,orc,snappy,,,,,,,1038.0,22.171,149.572,20.149,44.741,18.133,44.715,16.133,44.691,18.141,55.736
8,hive,orc,zlib,,,,,,,1090.096,22.173,219.52,22.132,186.687,20.125,184.804,20.138,182.758,20.124,59.774
8,hive,rcfile,snappy,,,,,,,985.946,18.198,87.52,14.149,24.741,14.132,24.674,16.149,22.657,14.132,45.8
16,hive,rcfile,gzip,153.229,106.189,102.172,100.147,114.156,120.166,592.245,14.122,127.266,12.132,118.605,12.117,128.672,12.125,128.671,12.125,39.5
16,shark,rcfile,gzip,103.975,91.372,81.844,84.672,87.74,78.806,204.168,,,,,,,,,,
16,hive,orc,snappy,,,,,,,563.648,16.151,111.423,18.14,42.684,16.118,40.617,16.117,40.607,18.133,49.591
16,hive,orc,zlib,,,,,,,591.469,20.19,159.405,18.133,140.671,18.125,138.639,18.141,138.63,18.116,53.558
16,hive,rcfile,snappy,,,,,,,537.507,12.182,93.342,12.132,20.651,14.148,20.567,14.133,20.608,12.116,41.558
16,hive,rcfile,gzip,149.222,110.206,100.189,98.155,114.174,118.149,596.166,12.116,123.275,12.123,120.672,12.158,126.646,12.133,122.656,12.141,43.542
16,shark,rcfile,gzip,111.726,101.871,83.56,89.757,84.225,82.182,202.327,,,,,,,,,,
16,hive,orc,snappy,,,,,,,569.435,16.153,109.423,16.133,42.657,16.126,40.658,16.124,40.641,16.117,53.591
16,hive,orc,zlib,,,,,,,601.481,18.185,157.414,20.115,140.682,20.131,178.639,20.124,176.645,20.158,57.571
16,hive,rcfile,snappy,,,,,,,543.633,14.18,87.342,14.132,20.635,14.149,22.647,12.124,20.617,14.108,41.559
16,hive,rcfile,gzip,145.248,106.196,102.188,98.147,110.191,120.155,598.207,12.126,129.324,12.123,118.697,12.124,122.638,14.133,122.63,12.142,41.524
16,shark,rcfile,gzip,107.839,89.189,84.764,87.743,84.967,82.89,206.443,,,,,,,,,,
16,hive,orc,snappy,,,,,,,565.441,16.161,109.398,16.107,42.709,16.124,40.61,16.124,40.599,16.116,49.575
16,hive,orc,zlib,,,,,,,599.703,20.164,155.381,18.132,140.663,20.108,176.648,20.125,178.629,20.124,55.533
16,hive,rcfile,snappy,,,,,,,543.536,14.173,81.451,14.132,22.682,12.117,22.633,14.142,22.649,14.117,41.6
16,hive,rcfile,gzip,155.211,110.18,100.155,98.148,112.157,118.156,590.135,12.122,133.266,12.124,114.639,14.124,126.638,12.125,122.658,12.125,41.541
